,目标地址省市区,目标地址代码,目标地址,被比较地址省市区,被比较地址代码,被比较地址,相似度,adcode
65,广东省深圳市南山区,300514,桃源街道光前工业区十七栋六楼,广东省深圳市南山区,002980,西丽白芒松白公路百旺信工业区五区19＃、21＃厂房、A区（一区）4号厂房,0.0796236,440305
13,北京市市辖区海淀区,002405,学院路7号弘彧大厦10层1002A室,北京市市辖区海淀区,002963,中关村南大街17号3号楼1902室,0.07960767,110108
11,北京市市辖区海淀区,002151,丰贤东路7号北斗星通大厦南楼二层,北京市市辖区海淀区,002439,东北旺西路8号中关村软件园21号楼启明星辰大厦一层,0.079585366,110108
70,北京市市辖区海淀区,300191,北洼路30号1号楼A416室,北京市市辖区海淀区,002955,上地三街9号C座C1104室,0.07955524,110108
53,北京市市辖区海淀区,300370,地锦路9号院6号楼,北京市市辖区海淀区,002955,上地三街9号C座C1104室,0.07954517,110108
25,北京市市辖区海淀区,300070,生命科学园路23-2号碧水源大厦,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,0.07953698,110108
20,广东省深圳市南山区,002359,南头街道大新路马家龙创新大厦A座10层,广东省深圳市南山区,002957,粤海街道高新区中区麻雀岭工业区M-7栋中钢大厦一层及M-6栋中钢大厦五层B区,0.07952674,440305
61,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,002766,南头街道安乐社区关口二路15号智恒产业园19栋2层,0.079451405,440305
12,北京市市辖区海淀区,300406,花园东路15号旷怡大厦5层,北京市市辖区海淀区,300542,蓝靛厂东路2号院金源时代商务中心2号楼B座8层,0.07942537,110108
33,广东省深圳市南山区,300638,南海大道1057号科技大厦二期A栋501A号,广东省深圳市南山区,002369,西丽平山民企科技工业园5栋,0.079418205,440305
21,广东省深圳市南山区,300760,高新技术产业园区科技南十二路迈瑞大厦1-4层,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,0.07940038,440305
45,广东省深圳市南山区,300656,高新区中区科技园工业厂房25栋1段5层（1）号,广东省深圳市南山区,002813,海天一路11号5栋C座8楼、9楼,0.07939152,440305
81,北京市市辖区海淀区,300045,东北旺西路8号院中关村软件园乙18号楼创通科技大厦,北京市市辖区海淀区,002963,中关村南大街17号3号楼1902室,0.079333715,110108
49,广东省深圳市南山区,300656,高新区中区科技园工业厂房25栋1段5层（1）号,广东省深圳市南山区,002886,南头关口二路智恒战略性新兴产业园10栋1至2楼,0.079308376,440305
28,广东省深圳市南山区,300638,南海大道1057号科技大厦二期A栋501A号,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,0.07929,440305
10,广东省深圳市南山区,002197,粤海街道西海岸大厦18楼,广东省深圳市南山区,002341,南海大道3025号创意大厦13-14楼,0.079187356,440305
3,广东省深圳市南山区,300633,粤海街道麻岭社区高新中区科技中2路1号深圳软件园（2期）12栋201、202,广东省深圳市南山区,300668,粤海街道科苑路15号科兴科学园B4单元13楼,0.079138204,440305
0,北京市市辖区海淀区,002721,复兴路17号国海广场A座7层701-716室,北京市市辖区海淀区,002819,阜成路67号银都大厦12层,0.07908216,110108
13,广东省深圳市福田区,300621,新洲路以西、莲花路以南振业景洲大厦裙楼101,广东省深圳市福田区,002797,福华一路115号投行大厦20楼,0.07905538,440304
9,广东省深圳市南山区,002672,高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9楼、10楼、11楼、12楼,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.079018384,440305
63,北京市市辖区海淀区,300231,苏州街29号维亚大厦12层071室,北京市市辖区海淀区,002721,复兴路17号国海广场A座7层701-716室,0.078862466,110108
4,广东省深圳市南山区,002869,粤海街道科技南路16号深圳湾科技生态园11栋A座18-20层01-08号,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.07885291,440305
22,北京市市辖区海淀区,300496,清华东路9号创达大厦1层101-105室(东升地区),北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.07878613,110108
18,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,广东省深圳市南山区,002419,中心路（深圳湾段）3019号天虹大厦9-14楼、17-20楼,0.07876664,440305
11,广东省深圳市南山区,002163,南海大道2061号新保辉大厦17层,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,0.0787664,440305
8,广东省深圳市南山区,002402,高新南区科技南十路6号深圳航天科技创新研究院大厦D座10楼1010-1011,广东省深圳市南山区,002672,高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9楼、10楼、11楼、12楼,0.07875693,440305
13,广东省深圳市福田区,300377,华富街道莲花一村社区皇岗路5001号深业上城南区T2栋3701,广东省深圳市福田区,002769,深南大道1006号深圳国际创新中心A栋21楼,0.07873456,440304
0,广东省深圳市福田区,002789,振兴路建艺大厦19层东,广东省深圳市福田区,002797,福华一路115号投行大厦20楼,0.0787189,440304
26,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,300542,蓝靛厂东路2号院金源时代商务中心2号楼B座8层,0.078652725,110108
10,广东省深圳市南山区,002583,高新区北区北环路9108号海能达大厦,广东省深圳市南山区,002912,粤海街道高新区社区高新南七道20号深圳国家工程实验室大楼A1403,0.0785824,440305
20,广东省深圳市宝安区,300115,福永镇桥头富桥工业3区3号厂,广东省深圳市宝安区,002782,福海街道新田社区正中工业厂区厂房7栋2层,0.07852584,440306
52,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,002373,东北旺西路8号中关村软件园一期27号楼B座501号,0.07852529,110108
2,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,广东省深圳市南山区,002351,科技园深南大道9998号万利达科技大厦22层9单元,0.07848733,440305
10,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,广东省深圳市南山区,002314,招商街道赤湾社区赤湾六路8号南山开发集团赤湾总部大厦2501,0.07842008,440305
14,广东省深圳市南山区,300042,高新技术产业园区高新南六道朗科大厦16、18、19楼,广东省深圳市南山区,300468,科技中二路深圳科技园12#楼402、深圳软件园（2期）13栋302室,0.07838869,440305
55,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,002554,马甸东路17号11层1212,0.07828593,110108
0,广东省佛山市顺德区,002670,容桂华口昌宝东路13号,广东省佛山市顺德区,002676,高新区(容桂)科苑一路6号,0.07819456,440606
46,北京市市辖区海淀区,300070,生命科学园路23-2号碧水源大厦,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,0.078071974,110108
2,广东省深圳市南山区,002052,高新区北区第五工业区彩虹科技大楼A6楼,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,0.07807101,440305
56,广东省深圳市南山区,300638,南海大道1057号科技大厦二期A栋501A号,广东省深圳市南山区,002980,西丽白芒松白公路百旺信工业区五区19＃、21＃厂房、A区（一区）4号厂房,0.07800939,440305
31,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,北京市市辖区海淀区,002279,文慧园甲12号楼1层,0.078007564,110108
5,北京市市辖区丰台区,300379,丰台路口139号主楼311室(园区),北京市市辖区丰台区,002893,南四环西路186号三区4号楼5层01室,0.07794885,110106
0,广东省深圳市南山区,002402,高新南区科技南十路6号深圳航天科技创新研究院大厦D座10楼1010-1011,广东省深圳市南山区,002419,中心路（深圳湾段）3019号天虹大厦9-14楼、17-20楼,0.07794613,440305
43,广东省深圳市南山区,300769,桃源街道福光社区留仙大道3370号南山智园崇文园区1号楼1001,广东省深圳市南山区,002912,粤海街道高新区社区高新南七道20号深圳国家工程实验室大楼A1403,0.07792482,440305
14,北京市市辖区海淀区,002151,丰贤东路7号北斗星通大厦南楼二层,北京市市辖区海淀区,002573,西八里庄路69号人民政协报大厦10层,0.07791039,110108
55,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,002405,学院路7号弘彧大厦10层1002A室,0.077903636,110108
33,北京市市辖区海淀区,300370,地锦路9号院6号楼,北京市市辖区海淀区,002306,马甸东路19号9层1017,0.07789398,110108
20,广东省深圳市宝安区,300269,68区留仙三路安通达工业厂区四号厂房2楼,广东省深圳市宝安区,002938,燕罗街道燕川社区松罗路鹏鼎园区厂房A1栋至A3栋,0.0778891,440306
20,北京市市辖区海淀区,300523,丰秀中路3号院1号楼-1至5层305,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.077878214,110108
3,北京市市辖区朝阳区,300688,酒仙桥北路7号60幢一层027,北京市市辖区朝阳区,002310,酒仙桥北路甲10号院104号楼6层601号,0.07781632,110105
0,浙江省杭州市滨江区,300347,江南大道618号东冠大厦1502-1,浙江省杭州市滨江区,300451,长河街道越达巷92号创业智慧大厦五楼,0.07770748,330108
30,北京市市辖区海淀区,300271,中关村东路1号院清华科技园科技大厦C座25层,北京市市辖区海淀区,300608,中关村南大街6号14层,0.077690795,110108
31,广东省深圳市南山区,300348,粤海街道沙河西路深圳湾科技生态园一区2栋A座5层,广东省深圳市南山区,002191,科技中二路劲嘉科技大厦18-19层,0.07768935,440305
21,广东省深圳市南山区,300131,高新技术产业园科技南五路英唐大厦五楼,广东省深圳市南山区,300638,南海大道1057号科技大厦二期A栋501A号,0.07766475,440305
5,广东省深圳市南山区,300311,高新区科技中2路软件园2栋6楼,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,0.077620886,440305
8,广东省深圳市南山区,300311,高新区科技中2路软件园2栋6楼,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,0.077620886,440305
43,北京市市辖区海淀区,300079,上地信息产业基地开拓路15号1幢,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,0.0775349,110108
47,广东省深圳市南山区,300112,高新技术产业园北区三号路万讯自控大楼1-6层,广东省深圳市南山区,002289,粤海街道深圳市软件产业基地1栋A座13层1302,0.077443376,440305
43,广东省深圳市南山区,300042,高新技术产业园区高新南六道朗科大厦16、18、19楼,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,0.07740375,440305
15,北京市市辖区海淀区,300419,远大路39号1号楼7层703-7号,北京市市辖区海淀区,300667,上地七街1号汇众2号楼710室,0.07738043,110108
40,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,0.07733822,110108
7,广东省深圳市南山区,300077,西丽街道松坪山社区宝深路109号国民技术大厦1楼,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,0.07725984,440305
53,广东省深圳市南山区,300042,高新技术产业园区高新南六道朗科大厦16、18、19楼,广东省深圳市南山区,002316,粤海街道高新区社区科技南一路28号达实大厦1902,0.077124126,440305
0,北京市市辖区海淀区,300271,中关村东路1号院清华科技园科技大厦C座25层,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,0.07712072,110108
8,广东省深圳市南山区,300047,粤海街道高新区南区市高新技术工业村T3栋B3楼,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,0.07710677,440305
56,广东省深圳市南山区,300572,粤海街道学府路63号高新区联合总部大厦35楼,广东省深圳市南山区,002912,粤海街道高新区社区高新南七道20号深圳国家工程实验室大楼A1403,0.07707344,440305
58,广东省深圳市南山区,300533,科技中二路1号深圳软件园（2期）9栋601、602室,广东省深圳市南山区,002912,粤海街道高新区社区高新南七道20号深圳国家工程实验室大楼A1403,0.077059865,440305
26,广东省深圳市南山区,300077,西丽街道松坪山社区宝深路109号国民技术大厦1楼,广东省深圳市南山区,300689,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B3401-B3404,0.07702852,440305
22,广东省深圳市南山区,300745,桃源街道塘岭路1号金骐智谷大厦5楼,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,0.07702703,440305
2,广东省深圳市南山区,300693,西丽街道松白路1002号百旺信高科技工业园2区6栋,广东省深圳市南山区,300760,高新技术产业园区科技南十二路迈瑞大厦1-4层,0.07690796,440305
59,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区,002912,粤海街道高新区社区高新南七道20号深圳国家工程实验室大楼A1403,0.076900154,440305
27,广东省深圳市南山区,300047,粤海街道高新区南区市高新技术工业村T3栋B3楼,广东省深圳市南山区,300689,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B3401-B3404,0.07687518,440305
4,北京市市辖区朝阳区,300612,八里庄东里1号CN02-B,北京市市辖区朝阳区,002066,五里桥一街1号院27号楼,0.07686132,110105
1,广东省深圳市南山区,002334,桃源街道长源社区学苑大道南山智园A7栋501,广东省深圳市南山区,002351,科技园深南大道9998号万利达科技大厦22层9单元,0.07682589,440305
6,北京市市辖区海淀区,300271,中关村东路1号院清华科技园科技大厦C座25层,北京市市辖区海淀区,300324,丰秀中路3号院12号楼-1至5层101,0.076819465,110108
66,北京市市辖区海淀区,300182,知春路1号学院国际大厦709室,北京市市辖区海淀区,002657,学院路39号唯实大厦1006室,0.07666417,110108
19,广东省深圳市南山区,300227,高新区北区朗山路13号清华紫光科技园C座1层,广东省深圳市南山区,300668,粤海街道科苑路15号科兴科学园B4单元13楼,0.07653989,440305
0,广东省深圳市南山区,300633,粤海街道麻岭社区高新中区科技中2路1号深圳软件园（2期）12栋201、202,广东省深圳市南山区,300634,粤海街道高新区社区科苑南路3176号彩讯科技大厦三十一层,0.07649508,440305
4,广东省深圳市南山区,002316,粤海街道高新区社区科技南一路28号达实大厦1902,广东省深圳市南山区,002359,南头街道大新路马家龙创新大厦A座10层,0.07649236,440305
42,广东省深圳市南山区,300047,粤海街道高新区南区市高新技术工业村T3栋B3楼,广东省深圳市南山区,002170,高新技术园学府路63号联合总部大厦30-31楼,0.076387346,440305
20,北京市市辖区海淀区,300386,学清路9号汇智大厦B楼17层,北京市市辖区海淀区,300719,知春路1号学院国际大厦11层1112室,0.07630244,110108
3,广东省广州市天河区,300616,花城大道85号3501房之自编01-05单元,广东省广州市天河区,002177,高唐路234号202房,0.07627212,440106
13,广东省深圳市南山区,002587,粤海街道学府路63号高新区联合总部大厦10楼,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.07618606,440305
6,广东省深圳市南山区,300348,粤海街道沙河西路深圳湾科技生态园一区2栋A座5层,广东省深圳市南山区,300546,粤海街道深圳市软件产业基地1栋C座9层,0.076185904,440305
44,广东省深圳市南山区,300235,南头街道马家龙社区大新路198号创新大厦B栋901,广东省深圳市南山区,002316,粤海街道高新区社区科技南一路28号达实大厦1902,0.07610421,440305
79,广东省深圳市南山区,300042,高新技术产业园区高新南六道朗科大厦16、18、19楼,广东省深圳市南山区,002957,粤海街道高新区中区麻雀岭工业区M-7栋中钢大厦一层及M-6栋中钢大厦五层B区,0.07598199,440305
17,广东省深圳市南山区,002419,中心路（深圳湾段）3019号天虹大厦9-14楼、17-20楼,广东省深圳市南山区,002970,学苑大道1001号南山智园B1栋21-23楼,0.07597659,440305
70,广东省深圳市南山区,300235,南头街道马家龙社区大新路198号创新大厦B栋901,广东省深圳市南山区,002957,粤海街道高新区中区麻雀岭工业区M-7栋中钢大厦一层及M-6栋中钢大厦五层B区,0.075962916,440305
14,北京市市辖区海淀区,300315,中关村奥北科技园领智中心北楼9层901(东升地区),北京市市辖区海淀区,300455,知春路61号9层,0.0759375,110108
27,北京市市辖区海淀区,300445,丰秀中路3号院5号楼,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.075927086,110108
50,广东省深圳市南山区,300546,粤海街道深圳市软件产业基地1栋C座9层,广东省深圳市南山区,002672,高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9楼、10楼、11楼、12楼,0.07588083,440305
0,上海市市辖区奉贤区,300225,青村镇沿线公路2888号,上海市市辖区奉贤区,300511,现代农业园区高丰路999号,0.07582616,310120
16,广东省深圳市南山区,002436,白石路与沙河西路交汇处深圳湾科技生态园一区2栋A座8层-9层,广东省深圳市南山区,002979,桃源街道学苑大道1001号南山智园A3栋9-11楼,0.07564317,440305
6,广东省深圳市福田区,002789,振兴路建艺大厦19层东,广东省深圳市福田区,003816,深南大道2002号中广核大厦南楼18楼,0.075572714,440304
1,广东省深圳市罗湖区,300622,桂园街道深南东路5016号京基一百大厦A座2201-02单元,广东省深圳市罗湖区,002285,深南东路2028号罗湖商务中心12楼,0.075556576,440303
1,广东省深圳市福田区,300350,华富街道莲花一村社区皇岗路5001号深业上城（南区）T2栋4308,广东省深圳市福田区,300518,福田街道福安社区福华一路1号深圳大中华国际交易广场2501,0.075555876,440304
18,广东省深圳市宝安区,300232,福永街道桥头社区永福路112号A栋,广东省深圳市宝安区,002786,石岩街道罗租社区建兴路5号,0.07553792,440306
15,广东省深圳市南山区,002327,创业南油大道西路自行车加工厂1栋,广东省深圳市南山区,002672,高新区北区朗山路9号东江环保大楼1楼、3楼、8楼北面、9楼、10楼、11楼、12楼,0.07546292,440305
47,北京市市辖区海淀区,300370,地锦路9号院6号楼,北京市市辖区海淀区,002649,西北旺东路10号院东区7号楼博彦科技大厦,0.07542604,110108
63,北京市市辖区海淀区,300070,生命科学园路23-2号碧水源大厦,北京市市辖区海淀区,002383,知春路118号知春大厦1501室,0.07533723,110108
22,广东省深圳市南山区,300771,学苑大道1001号南山智园C3栋15层,广东省深圳市南山区,002351,科技园深南大道9998号万利达科技大厦22层9单元,0.075248,440305
11,北京市市辖区朝阳区,300104,姚家园路105号3号楼12层1503,北京市市辖区朝阳区,002504,来广营西路朝来高科技产业园7号楼,0.075207934,110105
4,广东省佛山市顺德区,300737,容桂红旗中路工业区38号之一,广东省佛山市顺德区,002711,乐从镇路州村委会第二工业区乐成路7号地,0.07512705,440606
20,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,广东省深圳市南山区,002419,中心路（深圳湾段）3019号天虹大厦9-14楼、17-20楼,0.075112164,440305
48,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,002373,东北旺西路8号中关村软件园一期27号楼B座501号,0.07506202,110108
6,广东省深圳市宝安区,300543,石岩街道上屋社区爱群路同富裕工业区8-4#厂房5层,广东省深圳市宝安区,002336,石岩街道洲石路北侧人人乐物流中心主楼二层,0.07488796,440306
26,北京市市辖区海淀区,300072,人大北路33号1号楼大行基业大厦9层,北京市市辖区海淀区,300406,花园东路15号旷怡大厦5层,0.074884996,110108
5,北京市市辖区海淀区,300667,上地七街1号汇众2号楼710室,北京市市辖区海淀区,300810,地锦路9号院15号楼409室,0.07485751,110108
9,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,300546,粤海街道深圳市软件产业基地1栋C座9层,0.07473257,440305
26,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,300496,清华东路9号创达大厦1层101-105室(东升地区),0.07472965,110108
17,北京市市辖区海淀区,300419,远大路39号1号楼7层703-7号,北京市市辖区海淀区,300719,知春路1号学院国际大厦11层1112室,0.07471794,110108
23,广东省深圳市南山区,002213,粤海街道高新区社区科技南路18号深圳湾科技生态园12栋A1406,广东省深圳市南山区,002766,南头街道安乐社区关口二路15号智恒产业园19栋2层,0.07469459,440305
12,广东省深圳市南山区,300468,科技中二路深圳科技园12#楼402、深圳软件园（2期）13栋302室,广东省深圳市南山区,300668,粤海街道科苑路15号科兴科学园B4单元13楼,0.07467088,440305
39,北京市市辖区海淀区,300449,地锦路9号院13号楼四层101-413,北京市市辖区海淀区,002649,西北旺东路10号院东区7号楼博彦科技大厦,0.07464804,110108
60,北京市市辖区海淀区,300157,丰秀中路3号院4号楼401室,北京市市辖区海淀区,002410,西北旺东路10号院东区13号楼,0.074604854,110108
3,浙江省杭州市滨江区,300250,西兴街道物联网街259号,浙江省杭州市滨江区,300451,长河街道越达巷92号创业智慧大厦五楼,0.07446008,330108
4,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,北京市市辖区海淀区,300810,地锦路9号院15号楼409室,0.074398085,110108
20,广东省深圳市南山区,300531,粤海街道学府路63号高新区联合总部大厦36楼,广东省深圳市南山区,002052,高新区北区第五工业区彩虹科技大楼A6楼,0.07439743,440305
49,北京市市辖区海淀区,300386,学清路9号汇智大厦B楼17层,北京市市辖区海淀区,002819,阜成路67号银都大厦12层,0.07434802,110108
5,广东省深圳市南山区,002369,西丽平山民企科技工业园5栋,广东省深圳市南山区,002518,高新北区科技中二路软件园1栋4楼401、402室,0.074072525,440305
9,广东省深圳市南山区,300745,桃源街道塘岭路1号金骐智谷大厦5楼,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,0.07405066,440305
31,北京市市辖区海淀区,300773,北清路中关村壹号D1座6层606,北京市市辖区海淀区,002987,西三环北路25号7层,0.07400143,110108
42,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,北京市市辖区海淀区,002462,昆明湖南路11号1号楼,0.07389681,110108
0,广东省深圳市福田区,300085,沙头街道天安社区泰然五路天安数码城天祥大厦10A-1,广东省深圳市福田区,300130,深南路车公庙工业区泰然劲松大厦17A,0.07384925,440304
37,广东省深圳市南山区,300546,粤海街道深圳市软件产业基地1栋C座9层,广东省深圳市南山区,002351,科技园深南大道9998号万利达科技大厦22层9单元,0.07383516,440305
10,广东省深圳市福田区,002294,深南大道6009号车公庙绿景广场主楼37层,广东省深圳市福田区,002856,八卦四路科研楼7栋1-6层,0.07383305,440304
39,广东省深圳市南山区,300077,西丽街道松坪山社区宝深路109号国民技术大厦1楼,广东省深圳市南山区,002161,粤海街道高新南十道63号高新区联合总部大厦27、28楼,0.07380379,440305
16,浙江省杭州市滨江区,300025,长河街道聚才路500号,浙江省杭州市滨江区,002570,伟业路1号10幢,0.073756814,330108
11,广东省深圳市福田区,300556,福强路3030号文化体育产业总部大厦17楼,广东省深圳市福田区,002769,深南大道1006号深圳国际创新中心A栋21楼,0.07371723,440304
32,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,0.07370065,110108
25,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,北京市市辖区海淀区,300810,地锦路9号院15号楼409室,0.07369675,110108
7,广东省深圳市福田区,300621,新洲路以西、莲花路以南振业景洲大厦裙楼101,广东省深圳市福田区,002416,泰然大道东泰然劲松大厦20F,0.07366968,440304
5,北京市市辖区朝阳区,300788,惠新东街甲4号8-10层,北京市市辖区朝阳区,002739,建国路93号万达广场B座11层,0.07360877,110105
1,北京市市辖区丰台区,300379,丰台路口139号主楼311室(园区),北京市市辖区丰台区,002148,西四环南路19号九号楼247室,0.07360877,110106
46,北京市市辖区海淀区,300150,创业路8号3号楼6层3-9,北京市市辖区海淀区,300810,地锦路9号院15号楼409室,0.073460646,110108
1,北京市市辖区海淀区,300444,上地三街9号D座1111,北京市市辖区海淀区,300449,地锦路9号院13号楼四层101-413,0.07343337,110108
13,浙江省杭州市滨江区,300270,西兴路1819号中威大厦15-20层,浙江省杭州市滨江区,002570,伟业路1号10幢,0.0734,330108
1,广东省深圳市南山区,002851,"高新技术产业园北区朗山路13号清华紫光科技园5层A,B,C501-503,D,E",广东省深圳市南山区,002886,南头关口二路智恒战略性新兴产业园10栋1至2楼,0.0733522,440305
58,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,002618,高新园朗山一路丹邦科技大楼,0.07333796,440305
1,广东省深圳市南山区,300131,高新技术产业园科技南五路英唐大厦五楼,广东省深圳市南山区,300167,茶光路1089号深圳集成电路设计应用产业园306-1、306-2、307-2室,0.07333766,440305
69,广东省深圳市南山区,300077,西丽街道松坪山社区宝深路109号国民技术大厦1楼,广东省深圳市南山区,002766,南头街道安乐社区关口二路15号智恒产业园19栋2层,0.07327645,440305
43,广东省深圳市南山区,300811,北环路南头第五工业区2栋3层301-306室,广东省深圳市南山区,002957,粤海街道高新区中区麻雀岭工业区M-7栋中钢大厦一层及M-6栋中钢大厦五层B区,0.07320292,440305
15,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,300384,北清路68号院1号楼二层西侧01227-01302,0.07318162,110108
48,广东省深圳市南山区,300077,西丽街道松坪山社区宝深路109号国民技术大厦1楼,广东省深圳市南山区,002289,粤海街道深圳市软件产业基地1栋A座13层1302,0.07308651,440305
11,广东省深圳市南山区,300454,学苑大道1001号南山智园A1栋一层,广东省深圳市南山区,300638,南海大道1057号科技大厦二期A栋501A号,0.073081724,440305
34,广东省深圳市南山区,300252,粤海街道高新区社区高新南九道10号深圳湾科技生态园10栋B座26层,广东省深圳市南山区,002191,科技中二路劲嘉科技大厦18-19层,0.07306074,440305
8,北京市市辖区朝阳区,300612,八里庄东里1号CN02-B,北京市市辖区朝阳区,002707,酒仙桥北路9号（厂区）7幢1层567号,0.073020816,110105
0,北京市市辖区海淀区,300072,人大北路33号1号楼大行基业大厦9层,北京市市辖区海淀区,300075,西直门北大街32号枫蓝国际中心1号楼18层1805室,0.0729635,110108
34,广东省深圳市南山区,300693,西丽街道松白路1002号百旺信高科技工业园2区6栋,广东省深圳市南山区,002436,白石路与沙河西路交汇处深圳湾科技生态园一区2栋A座8层-9层,0.07274272,440305
3,湖南省长沙市浏阳市,300267,经济技术开发区康平路167号,湖南省长沙市浏阳市,002903,制造产业基地永阳路9号,0.0727393,430181
12,北京市市辖区海淀区,300674,高梁桥斜街42号院1号楼5层1-519,北京市市辖区海淀区,002350,西北旺东路10号院东区4号楼107,0.07272608,110108
16,广东省深圳市南山区,300348,粤海街道沙河西路深圳湾科技生态园一区2栋A座5层,广东省深圳市南山区,300693,西丽街道松白路1002号百旺信高科技工业园2区6栋,0.07267313,440305
41,广东省深圳市南山区,300112,高新技术产业园北区三号路万讯自控大楼1-6层,广东省深圳市南山区,002191,科技中二路劲嘉科技大厦18-19层,0.07265802,440305
42,广东省深圳市南山区,300769,桃源街道福光社区留仙大道3370号南山智园崇文园区1号楼1001,广东省深圳市南山区,002886,南头关口二路智恒战略性新兴产业园10栋1至2楼,0.072633825,440305
9,广东省深圳市宝安区,002340,宝安中心区兴华路南侧荣超滨海大厦A栋20层2008号房,广东省深圳市宝安区,002938,燕罗街道燕川社区松罗路鹏鼎园区厂房A1栋至A3栋,0.07259958,440306
8,广东省深圳市福田区,002238,彩田路6001号,广东省深圳市福田区,002775,深南大道1006号深圳国际创新中心（福田科技广场）A栋35、36层,0.07248005,440304
44,北京市市辖区海淀区,300282,西北旺东路10号院东区21号楼6层101-601,北京市市辖区海淀区,002306,马甸东路19号9层1017,0.072464034,110108
8,北京市市辖区海淀区,002462,昆明湖南路11号1号楼,北京市市辖区海淀区,002933,西杉创意园四区4号楼,0.07245558,110108
8,北京市市辖区海淀区,300773,北清路中关村壹号D1座6层606,北京市市辖区海淀区,002279,文慧园甲12号楼1层,0.07244968,110108
30,北京市市辖区海淀区,300223,西北旺东路10号院东区14号楼一层A101-A113,北京市市辖区海淀区,300542,蓝靛厂东路2号院金源时代商务中心2号楼B座8层,0.07234309,110108
14,广东省深圳市南山区,002351,科技园深南大道9998号万利达科技大厦22层9单元,广东省深圳市南山区,002813,海天一路11号5栋C座8楼、9楼,0.0722629,440305
22,北京市市辖区海淀区,300477,上地三街9号(嘉华大厦)D座1211、1212,北京市市辖区海淀区,002306,马甸东路19号9层1017,0.07225778,110108
